,Reference,Final_Alginate_Conc_(%w/v),Final_Gelatin_Conc_(%w/v),Final_GelMA_Conc_(%w/v),Final_Hyaluronic_Acid_Conc_(%w/v),Final_MeHA_Conc_(%w/v),Final_NorHA_Conc_(%w/v),Final_Fibronin/Fibrinogen_Conc_(%w/v),Final_P127_Conc_(%w/v),Final_Collagen_Conc_(%w/v),Final_TCP_Conc_(%w/v)_(%w/v),Final_Gellan_Conc_(%w/v),Final_Nano/Methycellulose_Conc_(%w/v),PEGDA_Conc_(%w/v),Agarose_Conc_(%w/v),CaCl2_Conc_(mM),NaCl2_Conc_(mM),BaCl2_Conc_(mM),SrCl2_Conc_(mM),Physical_Crosslinking_Durantion_(s),Photocrosslinking_Duration_(s),Extrusion_Pressure (kPa),Extrusion_Rate_Lengthwise_(mm/s),Extrusion_Rate_Volume-wise_(mL/s),Nozzle_Movement_Speed_(mm/s),Inner_Nozzle_Outer_Diameter_(µm),Outer_Nozzle_Inner_Diameter_(µm),Filament_Diameter_(µm),Cell_Density_(cells/mL),Syringe_Temperature_(°C),Substrate_Temperature_(°C),Days_Observed,Construct_Base_Area_(mm^2),Construct_Total_Thickness_(mm),Cell_Culture_Medium_Used?,DI_Water_Used?,Precrosslinking_Solution_Used?,Saline_Solution_Used?,EtOH_Solution_Used?,Photoinitiator_Used?,Enzymatic_Crosslinker_Used?,Conical_or_Straight_Nozzle,Acceptable_Filament_Diameter_(Yes/No),DOI,Final_Fibroin/Fibrinogen_Conc_(%w/v),Final_Chitosan_Conc_(%w/v),Final_CS-AEMA_Conc_(%w/v),Final_TCP_Conc_(%w/v),Final_PEGTA_Conc_(%w/v),Final_PEGMA_Conc_(%w/v),Final_PEGDA_Conc_(%w/v),Final_Agarose_Conc_(%w/v),Fiber_Diameter_(µm),Fiber_Spacing_(µm),Matrigel_Used?,Primary/Not_Primary,Viability_at_time_of_observation_(%),Acceptable_Viability_(Yes/No),Acceptable_Pressure_(Yes/No)
0,Fedorovich et. al. 2008,2.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,,0,199.9,16.67,,,0,210.0,,250000.0,22.0,22.0,0.208,,,Y,N,N,N,N,N,N,S,,10.1089/ten.a.2007.0158,0.0,0,0,0.0,0,0.0,0,0.0,430,300.0,N,Primary,96.0,Y,Y
1,Fedorovich et. al. 2008,2.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,,0,199.9,16.67,,,0,210.0,,250000.0,22.0,22.0,1.0,,,Y,N,N,N,N,N,N,S,,10.1089/ten.a.2007.0158,0.0,0,0,0.0,0,0.0,0,0.0,430,300.0,N,Primary,72.0,N,N
2,Fedorovich et. al. 2008,2.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,,0,199.9,16.67,,15.0,0,210.0,,250000.0,22.0,22.0,3.0,,,Y,N,N,N,N,N,N,S,,10.1089/ten.a.2007.0158,0.0,0,0,0.0,0,0.0,0,0.0,430,300.0,N,Primary,80.0,Y,Y
3,Fedorovich et. al. 2008,0.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,199.9,16.67,,15.0,0,210.0,,250000.0,4.0,22.0,0.208,,,Y,N,N,N,N,N,N,S,,10.1089/ten.a.2007.0158,0.0,0,0,0.0,0,0.0,0,0.0,430,300.0,N,Primary,96.0,Y,Y
4,Fedorovich et. al. 2008,0.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,199.9,16.67,,15.0,0,610.0,,250000.0,4.0,22.0,0.208,,,Y,N,N,N,N,N,N,S,,10.1089/ten.a.2007.0158,0.0,0,0,0.0,0,0.0,0,0.0,1280,300.0,N,Primary,77.0,N,N
5,Fedorovich et. al. 2008,0.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,199.9,16.67,,15.0,0,420.0,,250000.0,4.0,22.0,0.208,,,Y,N,N,N,N,N,N,S,,10.1089/ten.a.2007.0158,0.0,0,0,0.0,0,0.0,0,0.0,,300.0,N,Primary,80.0,Y,Y
6,Fedorovich et. al. 2008,0.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,199.9,16.67,,15.0,0,210.0,,250000.0,4.0,22.0,0.208,,,Y,N,N,N,N,N,N,S,,10.1089/ten.a.2007.0158,0.0,0,0,0.0,0,0.0,0,0.0,,300.0,N,Primary,85.0,Y,Y
7,Fedorovich et. al. 2008,0.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,199.9,16.67,,15.0,0,180.0,,250000.0,4.0,22.0,0.208,,,Y,N,N,N,N,N,N,S,,10.1089/ten.a.2007.0158,0.0,0,0,0.0,0,0.0,0,0.0,,300.0,N,Primary,76.0,N,N
8,Fedorovich et. al. 2008,0.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,0.0,0.0,0,0,0.0,0,199.9,16.67,,15.0,0,150.0,,250000.0,4.0,22.0,0.208,,,Y,N,N,N,N,N,N,S,,10.1089/ten.a.2007.0158,0.0,0,0,0.0,0,0.0,0,0.0,,300.0,N,Primary,79.0,N,N
9,Soltan et al. 2019,3.0,2.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,,0,10.0,,,,0,210.0,,1000000.0,26.0,22.0,0.0,,,N,Y,N,N,Y,N,N,S,,10.1021/acsbiomaterials.9b00167,0.0,0,0,0.0,0,0.0,0,0.0,1052.1,54.0,N,Primary,98.0,Y,Y
10,Soltan et al. 2019,3.0,2.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,,0,10.0,,,25.0,0,210.0,,1000000.0,26.0,22.0,7.0,,,N,Y,N,N,Y,N,N,S,,10.1021/acsbiomaterials.9b00167,0.0,0,0,0.0,0,0.0,0,0.0,1103.09,54.0,N,Primary,73.0,N,N
11,Soltan et al. 2019,2.0,2.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,,0,10.0,,,25.0,0,210.0,,1000000.0,26.0,22.0,0.0,,,N,Y,N,N,Y,N,N,S,,10.1021/acsbiomaterials.9b00167,0.0,0,0,0.0,0,0.0,0,0.0,917.23,54.0,N,Primary,92.0,Y,Y
12,Soltan et al. 2019,2.0,2.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,,0,10.0,,,25.0,0,210.0,,1000000.0,26.0,22.0,7.0,,,N,Y,N,N,Y,N,N,S,,10.1021/acsbiomaterials.9b00167,0.0,0,0,0.0,0,0.0,0,0.0,1132.66,54.0,N,Primary,80.0,Y,Y
13,Soltan et al. 2019,2.0,3.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,,0,10.0,,,25.0,0,210.0,,1000000.0,26.0,22.0,0.0,,,N,Y,N,N,Y,N,N,S,,10.1021/acsbiomaterials.9b00167,0.0,0,0,0.0,0,0.0,0,0.0,1015.34,54.0,N,Primary,98.0,Y,Y
14,Soltan et al. 2019,2.0,3.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,,0,10.0,,,25.0,0,210.0,,1000000.0,26.0,22.0,7.0,,,N,Y,N,N,Y,N,N,S,,10.1021/acsbiomaterials.9b00167,0.0,0,0,0.0,0,0.0,0,0.0,1560.65,54.0,N,Primary,73.0,N,N
15,Soltan et al. 2019,3.0,2.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,,0,10.0,,,25.0,0,210.0,,1000000.0,26.0,22.0,0.0,,,N,Y,N,N,Y,N,N,S,,10.1021/acsbiomaterials.9b00167,0.0,0,0,0.0,0,0.0,0,0.0,909.19,54.0,N,Primary,99.5,Y,Y
16,Soltan et al. 2019,3.0,2.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,,0,10.0,,,25.0,0,210.0,,1000000.0,26.0,22.0,7.0,,,N,Y,N,N,Y,N,N,S,,10.1021/acsbiomaterials.9b00167,0.0,0,0,0.0,0,0.0,0,0.0,,54.0,N,Primary,89.0,Y,Y
17,Soltan et al. 2019,2.0,2.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,,0,10.0,,,25.0,0,210.0,,1000000.0,26.0,22.0,0.0,,,N,Y,N,N,Y,N,N,S,,10.1021/acsbiomaterials.9b00167,0.0,0,0,0.0,0,0.0,0,0.0,858.15,54.0,N,Primary,99.0,Y,Y
18,Soltan et al. 2019,2.0,2.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,,0,10.0,,,25.0,0,210.0,,1000000.0,26.0,22.0,7.0,,,N,Y,N,N,Y,N,N,S,,10.1021/acsbiomaterials.9b00167,0.0,0,0,0.0,0,0.0,0,0.0,,54.0,N,Primary,95.0,Y,Y
19,Soltan et al. 2019,2.0,3.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,,0,10.0,,,25.0,0,210.0,,1000000.0,26.0,22.0,0.0,,,N,Y,N,N,Y,N,N,S,,10.1021/acsbiomaterials.9b00167,0.0,0,0,0.0,0,0.0,0,0.0,833.96,54.0,N,Primary,99.5,Y,Y
20,Soltan et al. 2019,2.0,3.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,,0,10.0,,,25.0,0,210.0,,1000000.0,26.0,22.0,7.0,,,N,Y,N,N,Y,N,N,S,,10.1021/acsbiomaterials.9b00167,0.0,0,0,0.0,0,0.0,0,0.0,,54.0,N,Primary,89.5,Y,Y
21,Jia et al. 2014,5.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,1800.0,0,,,0.01,,0,,,1300000.0,,4.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1016/j.actbio.2014.06.034,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,95.0,Y,Y
22,Jia et al. 2014,8.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,1800.0,0,,,0.01,,0,,,1300000.0,,4.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1016/j.actbio.2014.06.034,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,95.0,Y,Y
23,Jia et al. 2014,8.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,1800.0,0,,,0.01,,0,,,1300000.0,,4.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1016/j.actbio.2014.06.034,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,95.0,Y,Y
24,Jia et al. 2014,8.0,0.0,0.0,0.0,0,0,,0,0.0,,0,0.0,,,100.0,0.0,0,0,1800.0,0,,,0.01,,0,,,1300000.0,,4.0,0.0,,,Y,Y,N,N,N,N,N,,,10.1016/j.actbio.2014.06.034,0.0,0,0,0.0,0,0.0,0,0.0,,,N,Primary,95.0,Y,Y
